Generation Max Avg Min
1049 8200 5034.9 5 
1050 8200 5217.0 2 
1051 8200 5149.6 72 
1052 8200 5083.3 1 
1053 8200 5101.6 2 
1054 8200 5163.3 1 
1055 8200 5175.6 12 
1056 8200 5196.1 5 
1057 8200 5028.0 4 
1058 8200 4935.6 2 
1059 8200 5214.9 2 
1060 8200 5408.6 2 
1061 8200 4927.5 1 
1062 8200 5030.8 2 
1063 8200 5332.1 5 
1064 8200 4968.1 2 
1065 8200 5125.4 2 
1066 8200 3772.6 6 
1067 8200 4875.6 264 
1068 8200 3936.0 2 
1069 8200 3947.0 2 
1070 8200 4476.8 4 
1071 8200 5087.1 5 
1072 8200 4930.2 6 
1073 8200 5241.0 4 
1074 8200 5417.0 176 
1075 8200 4704.0 32 
1076 8200 3718.2 2 
1077 8200 4487.8 2 
1078 8200 3868.2 2 
1079 8200 4532.7 6 
1080 8200 3873.8 12 
1081 8200 4563.8 2 
1082 8200 3676.4 2 
1083 8200 3760.6 4 
1084 8200 4234.3 2 
1085 8200 4922.1 2 
1086 8200 4986.4 2 
1087 8200 4927.8 2 
1088 8200 5046.7 2 
1089 8200 4926.0 5 
1090 8200 5297.1 2 
1091 8200 5537.8 10 
1092 8200 4952.8 2 
1093 8200 5145.6 2 
1094 8200 4974.5 1 
1095 8200 5304.0 12 
1096 8200 4979.1 2 
1097 8200 4992.0 2 
1098 8200 5020.2 1 
1099 8200 5243.2 2 
1100 8200 5211.2 4 
1101 8200 5403.7 5 
1102 8200 5495.9 36 
1103 8200 5195.0 124 
1104 8200 4047.0 74 
1105 8200 3930.8 8 
